                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.1563,                0.57069,                0.80742,                0.96288,                 0.9525,                0.97763,                0.69578,                 1.0181,                0.49358,                0.77973,               0.004357,               0.004357,               0.004357
                     60,                 1.1444,                0.56166,                 0.8025,                0.96272,                 0.9505,                0.97857,                0.69817,                 1.0156,                0.49332,                0.78003,               0.004258,               0.004258,               0.004258
                     61,                 1.1544,                0.57065,                0.80657,                0.95694,                0.95553,                0.97892,                0.70051,                  1.004,                0.48786,                0.77909,               0.004159,               0.004159,               0.004159
                     62,                 1.1361,                0.56565,                0.80085,                0.95644,                0.95516,                0.97828,                0.70226,                0.99971,                0.48759,                0.77896,                0.00406,                0.00406,                0.00406
                     63,                 1.1521,                0.55308,                 0.8027,                0.96063,                 0.9605,                0.98025,                0.70394,                0.99944,                0.47959,                0.77826,               0.003961,               0.003961,               0.003961
                     64,                 1.1226,                0.54855,                0.80019,                0.95768,                0.96164,                0.98147,                0.70554,                0.99997,                0.47466,                0.77855,               0.003862,               0.003862,               0.003862
                     65,                 1.1277,                0.54822,                0.80162,                0.95902,                0.95946,                0.97985,                0.70581,                0.99008,                0.47454,                0.77738,               0.003763,               0.003763,               0.003763
                     66,                   1.12,                0.54552,                0.80135,                0.96721,                0.95862,                0.98113,                0.71351,                 0.9704,                0.46753,                0.77764,               0.003664,               0.003664,               0.003664
                     67,                 1.1331,                0.54652,                0.80054,                0.96522,                 0.9615,                0.98165,                 0.7084,                 0.9855,                 0.4717,                0.77757,               0.003565,               0.003565,               0.003565
                     68,                 1.0982,                0.52627,                0.79459,                0.96444,                0.96268,                0.98004,                0.70771,                0.98958,                0.47587,                0.77809,               0.003466,               0.003466,               0.003466
                     69,                 1.0942,                0.53896,                0.79653,                 0.9686,                0.95617,                0.97945,                0.70912,                0.99043,                 0.4737,                0.77757,               0.003367,               0.003367,               0.003367
                     70,                 1.0931,                0.52691,                  0.796,                0.96781,                  0.955,                0.98067,                 0.7128,                0.98338,                0.46754,                0.77698,               0.003268,               0.003268,               0.003268
                     71,                 1.0846,                0.52303,                0.79563,                0.96573,                0.95821,                0.98023,                 0.7122,                 0.9779,                0.46393,                0.77661,               0.003169,               0.003169,               0.003169
                     72,                 1.0879,                0.52519,                0.79731,                0.96736,                 0.9605,                0.98107,                0.71032,                0.97974,                0.46475,                0.77687,                0.00307,                0.00307,                0.00307
                     73,                  1.077,                0.51993,                0.79661,                0.96912,                 0.9572,                0.98055,                0.71186,                0.98271,                0.46445,                0.77687,               0.002971,               0.002971,               0.002971
                     74,                  1.076,                0.51465,                 0.7988,                0.96895,                 0.9605,                 0.9816,                0.71652,                0.97598,                0.46085,                0.77646,               0.002872,               0.002872,               0.002872
                     75,                 1.0795,                0.51126,                0.79671,                0.96624,                 0.9588,                0.98139,                 0.7161,                0.98138,                0.45909,                0.77653,               0.002773,               0.002773,               0.002773
                     76,                 1.0651,                0.49713,                0.79951,                0.96633,                  0.962,                0.98323,                0.71932,                 0.9743,                0.45483,                0.77592,               0.002674,               0.002674,               0.002674
                     77,                 1.0517,                  0.502,                0.79547,                 0.9688,                0.96248,                0.98314,                0.71716,                0.98047,                0.45377,                 0.7761,               0.002575,               0.002575,               0.002575
                     78,                  1.067,                0.50958,                0.79903,                 0.9746,                0.95931,                0.98155,                0.71785,                0.97434,                 0.4525,                 0.7754,               0.002476,               0.002476,               0.002476
                     79,                 1.0496,                0.49812,                0.79544,                 0.9684,                  0.964,                0.98168,                0.71761,                  0.969,                0.45057,                0.77534,               0.002377,               0.002377,               0.002377
                     80,                 1.0499,                0.49974,                0.79763,                0.96777,                 0.9635,                0.98119,                0.71541,                0.97373,                0.45265,                0.77545,               0.002278,               0.002278,               0.002278
                     81,                 1.0475,                0.47817,                0.79784,                0.96548,                 0.9615,                0.98162,                0.71688,                0.97571,                0.45288,                0.77524,               0.002179,               0.002179,               0.002179
                     82,                 1.0441,                0.49192,                0.79433,                0.97216,                0.96016,                0.98181,                0.71837,                0.97514,                0.45382,                0.77525,                0.00208,                0.00208,                0.00208
                     83,                 1.0252,                0.48964,                 0.7924,                0.96542,                0.96317,                0.98183,                 0.7151,                0.97324,                0.45417,                0.77511,               0.001981,               0.001981,               0.001981
                     84,                 1.0074,                0.47012,                0.78915,                0.97082,                 0.9625,                0.98193,                0.71533,                0.97408,                0.45475,                0.77477,               0.001882,               0.001882,               0.001882
                     85,                 1.0277,                0.48868,                0.79246,                0.96941,                  0.963,                0.98175,                0.71871,                0.97071,                0.45061,                0.77446,               0.001783,               0.001783,               0.001783
                     86,                 1.0251,                 0.4695,                0.79565,                0.97174,                0.96295,                0.98249,                0.71751,                0.96911,                 0.4501,                0.77441,               0.001684,               0.001684,               0.001684
                     87,                 1.0146,                0.47647,                 0.7926,                0.97124,                0.96262,                0.98195,                0.71679,                0.96867,                0.44907,                0.77432,               0.001585,               0.001585,               0.001585
                     88,                0.99182,                0.45978,                0.79265,                0.97118,                0.96048,                0.98168,                0.71675,                 0.9673,                0.44752,                0.77428,               0.001486,               0.001486,               0.001486
                     89,                 1.0026,                0.46032,                 0.7947,                0.96785,                0.96341,                0.98218,                0.71604,                0.96723,                0.44748,                0.77424,               0.001387,               0.001387,               0.001387
                     90,                0.98214,                0.45471,                0.79362,                0.97031,                 0.9625,                0.98235,                0.71873,                0.96573,                0.44498,                0.77429,               0.001288,               0.001288,               0.001288
                     91,                0.94407,                0.44972,                0.79253,                0.96864,                 0.9625,                0.98248,                  0.719,                0.96727,                0.44451,                0.77449,               0.001189,               0.001189,               0.001189
                     92,                0.94039,                0.44223,                0.79471,                0.97179,                  0.963,                0.98292,                 0.7177,                0.96987,                 0.4453,                0.77451,                0.00109,                0.00109,                0.00109
                     93,                0.92369,                0.42015,                0.79463,                0.96785,                0.96322,                0.98262,                0.71758,                0.96998,                0.44555,                0.77443,               0.000991,               0.000991,               0.000991
                     94,                0.92882,                0.42093,                0.79174,                0.97031,                0.96399,                0.98165,                0.71773,                 0.9712,                0.44634,                0.77454,               0.000892,               0.000892,               0.000892
                     95,                0.90676,                0.42305,                0.78908,                 0.9716,                  0.964,                0.98208,                0.71871,                0.97136,                0.44627,                0.77449,               0.000793,               0.000793,               0.000793
                     96,                 0.8866,                0.41472,                0.78945,                0.97225,                0.96363,                0.98206,                0.71762,                0.97178,                0.44744,                0.77438,               0.000694,               0.000694,               0.000694
                     97,                0.89477,                 0.4138,                0.78876,                0.97203,                 0.9635,                0.98192,                0.71876,                0.97184,                0.44769,                0.77425,               0.000595,               0.000595,               0.000595
                     98,                 0.8838,                 0.4063,                0.78766,                0.97383,                  0.964,                0.98204,                0.71745,                0.97235,                0.44615,                0.77423,               0.000496,               0.000496,               0.000496
                     99,                0.87883,                0.39945,                0.78639,                0.97188,                 0.9645,                0.98146,                0.71801,                0.97393,                0.44591,                0.77422,               0.000397,               0.000397,               0.000397
                    100,                 0.8827,                0.40694,                0.78833,                0.97328,                0.96543,                0.98157,                0.71797,                0.97362,                0.44648,                0.77421,               0.000298,               0.000298,               0.000298
