                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.99176,                0.66523,                0.79803,                0.79377,                  0.843,                0.86932,                0.62091,                0.98383,                0.78238,                0.82688,             0.00028282,             0.00028282,             0.00028282
                     64,                0.99288,                0.63734,                0.79565,                0.81029,                0.82435,                 0.8799,                0.63074,                0.98196,                0.78568,                0.82738,             0.00027575,             0.00027575,             0.00027575
                     65,                0.96811,                0.63475,                 0.7951,                0.78274,                0.85388,                0.87873,                0.63036,                0.97449,                0.78557,                0.82773,             0.00026868,             0.00026868,             0.00026868
                     66,                0.96832,                0.62327,                0.79508,                0.78563,                0.83923,                 0.8569,                0.61681,                0.97896,                0.81922,                0.82775,             0.00026161,             0.00026161,             0.00026161
                     67,                0.97331,                0.62789,                0.79733,                0.78013,                  0.841,                0.86865,                0.62399,                0.98783,                0.79349,                0.82916,             0.00025454,             0.00025454,             0.00025454
                     68,                 0.9383,                0.61916,                0.79306,                0.80935,                0.83207,                0.87486,                0.63217,                0.96131,                0.77361,                0.82711,             0.00024747,             0.00024747,             0.00024747
                     69,                0.94939,                0.60478,                0.79331,                0.80989,                  0.829,                0.86074,                0.61911,                0.97417,                0.78009,                0.82798,              0.0002404,              0.0002404,              0.0002404
                     70,                0.92188,                0.59557,                 0.7915,                 0.7915,                0.83515,                0.85694,                 0.6221,                0.95731,                 0.7898,                0.82758,             0.00023334,             0.00023334,             0.00023334
                     71,                0.93107,                0.61219,                0.79658,                0.78305,                0.84099,                0.86099,                0.61718,                0.96493,                0.78731,                 0.8274,             0.00022627,             0.00022627,             0.00022627
                     72,                0.93831,                0.59062,                0.79604,                0.80438,                  0.829,                0.85549,                0.61677,                0.97929,                0.80225,                0.82814,              0.0002192,              0.0002192,              0.0002192
                     73,                0.92348,                0.60548,                0.78916,                0.81789,                 0.8309,                0.87868,                0.62992,                 0.9719,                0.76714,                0.82664,             0.00021213,             0.00021213,             0.00021213
                     74,                0.89055,                0.56307,                0.78976,                0.82228,                0.81892,                0.86822,                 0.6259,                0.96667,                 0.7799,                0.82712,             0.00020506,             0.00020506,             0.00020506
                     75,                0.91527,                0.57645,                0.79135,                0.80511,                  0.857,                 0.8694,                0.62149,                0.97699,                0.77435,                0.82619,             0.00019799,             0.00019799,             0.00019799
                     76,                0.88788,                0.56338,                0.78766,                 0.8081,                  0.852,                0.87132,                0.62352,                0.98247,                0.78296,                0.82709,             0.00019092,             0.00019092,             0.00019092
                     77,                0.88274,                0.56479,                0.79198,                 0.8148,                0.84472,                0.86491,                0.62219,                0.97277,                0.80232,                0.82696,             0.00018385,             0.00018385,             0.00018385
                     78,                 0.9053,                0.57192,                0.78739,                0.81554,                0.83121,                0.86449,                0.62639,                0.97032,                0.79882,                0.82613,             0.00017679,             0.00017679,             0.00017679
                     79,                0.88385,                0.56443,                0.78923,                 0.8071,                  0.826,                0.86161,                0.62504,                0.97142,                0.81454,                0.82691,             0.00016972,             0.00016972,             0.00016972
                     80,                0.89263,                0.58023,                0.78859,                0.79623,                0.84009,                0.86552,                0.62252,                0.96683,                0.80177,                0.82655,             0.00016265,             0.00016265,             0.00016265
